=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 1024 elements (4.00 KB)

Blocks,Threads,Total_Threads,Time_ms,Counter,Expected,Correct
1,1,1,0.054,1
1,2,2,0.045,2
1,4,4,0.084,4
1,8,8,0.165,8
1,16,16,0.325,16
1,32,32,0.646,32
1,64,64,1.289,64
1,128,128,2.574,128
1,256,256,5.179,256
2,1,2,0.044,2
2,2,4,0.084,4
2,4,8,0.164,8
2,8,16,0.325,16
2,16,32,0.646,32
2,32,64,1.288,64
2,64,128,2.572,128
2,128,256,5.143,256
2,256,512,10.350,512
4,1,4,0.087,4
4,2,8,0.165,8
4,4,16,0.325,16
4,8,32,0.646,32
4,16,64,1.286,64
4,32,128,2.568,128
4,64,256,5.131,256
4,128,512,10.269,512
4,256,1024,20.811,1024
8,1,8,0.165,8
8,2,16,0.325,16
8,4,32,0.644,32
8,8,64,1.284,64
8,16,128,2.564,128
8,32,256,5.126,256
8,64,512,10.254,512
8,128,1024,20.707,1024
8,256,2048,41.816,2048
16,1,16,0.287,16
16,2,32,0.569,32
16,4,64,1.137,64
16,8,128,2.266,128
16,16,256,4.530,256
16,32,512,9.068,512
16,64,1024,18.295,1024
16,128,2048,37.489,2048
16,256,4096,80.973,4096
32,1,32,0.570,32
32,2,64,1.136,64
32,4,128,2.265,128
32,8,256,4.527,256
32,16,512,9.068,512
32,32,1024,18.284,1024
32,64,2048,37.515,2048
32,128,4096,77.768,4096
32,256,8192,192.214,8192
