=== Lock Contention Benchmark (NO BACKOFF) ===
Array size: 4096 elements (16.00 KB)

Blocks,Threads,Total_Threads,Time_ms,Counter,Expected,Correct
1,1,1,0.110,1
1,2,2,0.161,2
1,4,4,0.316,4
1,8,8,0.629,8
1,16,16,1.253,16
1,32,32,2.502,32
1,64,64,5.000,64
1,128,128,9.999,128
1,256,256,20.072,256
2,1,2,0.161,2
2,2,4,0.315,4
2,4,8,0.629,8
2,8,16,1.253,16
2,16,32,2.502,32
2,32,64,5.000,64
2,64,128,9.997,128
2,128,256,19.994,256
2,256,512,40.194,512
4,1,4,0.316,4
4,2,8,0.628,8
4,4,16,1.252,16
4,8,32,2.501,32
4,16,64,4.460,64
4,32,128,8.839,128
4,64,256,17.676,256
4,128,512,35.356,512
4,256,1024,71.142,1024
8,1,8,0.556,8
8,2,16,1.108,16
8,4,32,2.212,32
8,8,64,4.421,64
8,16,128,8.834,128
8,32,256,17.668,256
8,64,512,35.338,512
8,128,1024,70.849,1024
8,256,2048,143.223,2048
16,1,16,1.109,16
16,2,32,2.212,32
16,4,64,4.420,64
16,8,128,8.836,128
16,16,256,17.668,256
16,32,512,35.343,512
16,64,1024,70.853,1024
16,128,2048,142.618,2048
16,256,4096,291.974,4096
32,1,32,2.214,32
32,2,64,4.419,64
32,4,128,8.834,128
32,8,256,17.667,256
32,16,512,35.345,512
32,32,1024,70.843,1024
32,64,2048,142.675,2048
32,128,4096,289.622,4096
32,256,8192,643.669,8192
